eCO2;TVOC;Time
400;0;0
400;0;30
400;0;60
407;1;90
400;0;120
409;1;150
400;0;180
400;0;210
400;0;240
400;0;270
414;2;300
409;1;330
422;3;360
409;1;390
405;0;420
400;0;450
408;1;480
400;0;510
409;1;540
406;0;570
403;0;600
409;1;630
403;0;660
408;1;690
408;1;720
407;1;750
402;0;780
409;1;810
407;1;840
407;1;870
411;1;900
422;3;930
830;65;960
704;46;990
656;39;1020
553;23;1050
524;18;1080
524;18;1110
534;20;1140
542;21;1170
542;21;1200
548;22;1230
548;22;1260
548;22;1290
548;22;1320
534;20;1350
542;21;1380
542;21;1410
530;19;1440
534;20;1470
530;19;1500
530;19;1530
534;20;1560
530;19;1590
530;19;1620
530;19;1650
524;18;1680
524;18;1710
524;18;1740
518;17;1770
506;16;1800
518;17;1830
506;16;1860
502;15;1890
495;14;1920
502;15;1950
497;14;1980
486;13;2010
497;14;2040
495;14;2070
495;14;2100
486;13;2130
478;11;2160
481;12;2190
478;11;2220
478;11;2250
478;11;2280
478;11;2310
461;9;2340
461;9;2370
473;11;2400
465;9;2430
465;9;2460
461;9;2490
452;7;2520
461;9;2550
461;9;2580
447;7;2610
456;8;2640
452;7;2670
443;6;2700
447;7;2730
447;7;2760
447;7;2790
443;6;2820
438;5;2850
438;5;2880
438;5;2910
433;5;2940
438;5;2970
433;5;3000
427;4;3030
427;4;3060
427;4;3090
422;3;3120
422;3;3150
418;2;3180
418;2;3210
418;2;3240
414;2;3270
405;0;3300
405;0;3330
405;0;3360
411;1;3390
405;0;3420
405;0;3450
405;0;3480
405;0;3510
405;0;3540
400;0;3570
400;0;3600
400;0;3630
400;0;3660
400;0;3690
400;0;3720
400;0;3750
400;0;3780
400;0;3810
403;0;3840
400;0;3870
405;0;3900
409;1;3930
409;1;3960
408;1;3990
408;1;4020
408;1;4050
408;1;4080
403;0;4110
403;0;4140
408;1;4170
408;1;4200
405;0;4230
400;0;4260
400;0;4290
405;0;4320
400;0;4350
409;1;4380
409;1;4410
409;1;4440
411;1;4470
407;1;4500
420;3;4530
424;3;4560
424;3;4590
420;3;4620
411;1;4650
407;1;4680
416;2;4710
411;1;4740
416;2;4770
416;2;4800
411;1;4830
416;2;4860
411;1;4890
416;2;4920
420;3;4950
411;1;4980
416;2;5010
411;1;5040
411;1;5070
411;1;5100
420;3;5130
424;3;5160
416;2;5190
424;3;5220
424;3;5250
424;3;5280
424;3;5310
424;3;5340
424;3;5370
424;3;5400
424;3;5430
416;2;5460
424;3;5490
424;3;5520
416;2;5550
420;3;5580
416;2;5610
411;1;5640
407;1;5670
416;2;5700
416;2;5730
407;1;5760
416;2;5790
411;1;5820
416;2;5850
411;1;5880
411;1;5910
411;1;5940
411;1;5970
407;1;6000
407;1;6030
400;0;6060
407;1;6090
400;0;6120
407;1;6150
400;0;6180
408;1;6210
408;1;6240
414;2;6270
409;1;6300
409;1;6330
409;1;6360
409;1;6390
409;1;6420
408;1;6450
408;1;6480
408;1;6510
400;0;6540
408;1;6570
405;0;6600
405;0;6630
405;0;6660
414;2;6690
409;1;6720
406;0;6750
406;0;6780
406;0;6810
406;0;6840
406;0;6870
400;0;6900
403;0;6930
402;0;6960
402;0;6990
400;0;7020
400;0;7050
400;0;7080
400;0;7110
400;0;7140
408;1;7170
400;0;7200
408;1;7230
403;0;7260
403;0;7290
403;0;7320
403;0;7350
400;0;7380
400;0;7410
405;0;7440
405;0;7470
400;0;7500
405;0;7530
405;0;7560
408;1;7590
408;1;7620
400;0;7650
406;0;7680
402;0;7710
406;0;7740
406;0;7770
406;0;7800
402;0;7830
409;1;7860
400;0;7890
409;1;7920
409;1;7950
409;1;7980
409;1;8010
400;0;8040
407;1;8070
400;0;8100
400;0;8130
409;1;8160
402;0;8190
414;2;8220
407;1;8250
400;0;8280
407;1;8310
407;1;8340
408;1;8370
408;1;8400
