Temperature;Humidity;Pressure;eCO2;TVOC;UV;IR;VIS;Time
23.78;43.16;984.26;400;0;0.01;252;249;1517961600
23.79;44.23;984.37;403;0;0.04;250;250;1517961630
23.79;43.52;984.28;403;0;0.04;254;268;1517961660
23.78;42.52;984.19;400;0;0;256;251;1517961690
23.79;42.47;984.31;408;1;0.1;254;257;1517961720
23.81;41.57;984.31;408;1;0.0;254;252;1517961750
23.79;42.54;984.26;400;0;0.03;256;260;1517961780
23.79;43.03;984.33;405;0;0.05;258;249;1517961810
23.79;43.33;984.22;413;1;0.06;255;253;1517961840
23.08;44.69;984.19;408;1;0.0;255;248;1517961870
23.08;41.60;984.19;408;1;0.0;249;251;1517961900
23.82;42.19;984.19;413;1;0.05;255;257;1517961930
23.08;43.44;984.29;405;0;0.0;252;253;1517961960
23.82;44.21;984.19;413;1;0.0;254;251;1517961990
23.08;42.44;984.34;409;1;0.0;256;256;1517962020
23.08;44.10;984.24;402;0;0.0;251;268;1517962050
23.08;43.32;984.32;400;0;0.0;255;254;1517962080
23.79;43.03;984.23;400;0;0.02;253;262;1517962110
23.81;44.56;984.27;405;0;0.06;252;257;1517962140
23.81;42.85;984.30;400;0;0.0;255;260;1517962170
23.81;44.81;984.21;414;2;0.01;253;259;1517962200
23.08;43.45;984.24;427;4;0.04;256;262;1517962230
23.79;44.70;984.29;438;5;0.0;255;263;1517962260
23.79;43.63;984.31;400;0;0.04;253;252;1517962290
23.08;42.22;984.22;400;0;0.02;254;247;1517962320
23.79;42.68;984.25;405;0;0.01;254;259;1517962350
23.79;42.94;984.18;408;1;0.04;255;266;1517962380
23.77;43.71;984.20;408;1;0.0;254;252;1517962410
23.77;45.78;984.23;405;0;0.0;250;265;1517962440
23.78;42.66;984.27;400;0;0.03;255;256;1517962470
23.77;43.08;984.16;400;0;0.04;253;255;1517962500
23.77;41.75;984.20;408;1;0.02;254;251;1517962530
23.78;44.94;984.13;400;0;0.0;255;267;1517962560
23.76;42.20;984.16;400;0;0.0;253;267;1517962590
23.77;44.96;984.25;408;1;0.0;255;253;1517962620
23.77;43.39;984.25;408;1;0.0;256;276;1517962650
23.78;43.42;984.25;400;0;0.0;252;254;1517962680
23.79;42.68;984.26;408;1;0.0;254;261;1517962710
23.78;42.43;984.22;408;1;0.01;252;264;1517962740
23.77;43.95;984.25;403;0;0.03;259;257;1517962770
23.77;42.57;984.21;408;1;0.0;256;259;1517962800
23.78;44.30;984.29;408;1;0.05;255;268;1517962830
23.78;43.88;984.12;410;1;0.0;253;252;1517962860
23.77;43.82;984.26;410;1;0.02;250;249;1517962890
23.77;43.90;984.23;410;1;0.03;250;257;1517962920
23.78;45.37;984.19;403;0;0.0;252;250;1517962950
23.78;43.55;984.18;410;1;0.02;252;249;1517962980
23.77;44.28;984.22;410;1;0.0;256;260;1517963010
23.76;45.11;984.29;400;0;0.0;252;260;1517963040
23.76;43.44;984.17;405;0;0.0;254;259;1517963070
23.76;41.92;984.29;407;1;0.02;255;251;1517963100
23.78;43.89;984.25;400;0;0.0;254;259;1517963130
23.77;43.53;984.24;400;0;0.02;255;270;1517963160
23.78;43.78;984.19;403;0;0.0;253;257;1517963190
23.77;41.95;984.23;400;0;0.0;257;250;1517963220
23.78;42.83;984.18;408;1;0.03;254;258;1517963250
23.78;43.44;984.25;410;1;0.0;255;264;1517963280
23.77;43.72;984.25;400;0;0.06;252;265;1517963310
23.77;45.51;984.20;408;1;0.05;252;265;1517963340
23.78;43.78;984.22;410;1;0.02;254;252;1517963370
