Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9
eCO2;TVOC;Temperature;Humidity;Pressure;UV;IR;VIS;Time
400;0;19.1;56.89;979.45;0.02;249;276;1518134400
400;0;19.1;56.67;979.41;0.03;253;257;1518134430
407;1;19.1;57.56;979.47;0.0;255;254;1518134460
402;0;19.09;56.09;979.48;0.0;252;261;1518134490
400;0;19.11;56.82;979.46;0.02;256;260;1518134520
405;0;19.09;56.35;979.42;0.0;252;252;1518134550
405;0;19.09;55.24;979.42;0.08;256;246;1518134580
405;0;19.07;56.94;979.46;0.0;251;256;1518134610
400;0;19.05;57.38;979.47;0.02;253;260;1518134640
400;0;19.05;56.51;979.53;0.0;254;260;1518134670
400;0;19.04;56.70;979.45;0.0;252;254;1518134700
400;0;19.05;56.48;979.49;0.0;255;262;1518134730
400;0;19.03;55.43;979.46;0.05;255;254;1518134760
411;1;19.07;55.15;979.47;0.02;253;259;1518134790
407;1;19.1;56.81;979.50;0.0;252;261;1518134820
411;1;19.1;55.84;979.53;0.0;253;264;1518134850
407;1;19.1;55.44;979.53;0.0;255;260;1518134880
407;1;19.11;57.58;979.58;0.0;254;261;1518134910
411;1;19.11;56.15;979.53;0.0;250;256;1518134940
407;1;19.12;55.98;979.46;0.03;254;260;1518134970
407;1;19.11;56.28;979.61;0.0;252;255;1518135000
403;0;19.17;56.95;979.47;0.04;252;261;1518135030
403;0;19.15;54.99;979.54;0.05;256;267;1518135060
414;2;19.13;57.13;979.53;0.03;255;264;1518135090
414;2;19.13;55.81;979.58;0.0;257;249;1518135120
410;1;19.14;57.02;979.54;0.0;249;262;1518135150
414;2;19.14;59.12;979.54;0.0;253;267;1518135180
405;0;19.12;56.31;979.51;0.0;256;265;1518135210
410;1;19.12;56.98;979.61;0.01;254;257;1518135240
400;0;19.12;56.29;979.57;0.0;253;263;1518135270
410;1;19.15;57.63;979.54;0.0;254;257;1518135300
410;1;19.14;56.81;979.62;0.0;258;250;1518135330
410;1;19.14;56.55;979.48;0.04;252;253;1518135360
410;1;19.17;56.18;979.47;0.03;251;259;1518135390
410;1;19.16;56.12;979.52;0.01;254;260;1518135420
410;1;19.17;56.42;979.53;0.0;253;264;1518135450
410;1;19.16;56.63;979.52;0.03;259;264;1518135480
405;0;19.19;54.72;979.59;0.02;251;263;1518135510
400;0;19.19;57.34;979.60;0.0;257;275;1518135540
408;1;19.19;57.03;979.56;0.0;252;248;1518135570
403;0;19.19;57.14;979.57;0.0;250;258;1518135600
400;0;19.18;56.47;979.55;0.03;251;267;1518135630
405;0;19.17;54.95;979.59;0.0;254;254;1518135660
409;1;19.18;56.47;979.52;0.0;256;266;1518135690
414;2;19.17;56.03;979.56;0.0;255;250;1518135720
409;1;19.17;56.16;979.51;0.02;249;253;1518135750
409;1;19.16;56.25;979.48;0.0;252;261;1518135780
405;0;19.16;56.54;979.50;0.0;251;272;1518135810
405;0;19.17;56.84;979.52;0.02;251;265;1518135840
400;0;19.13;56.11;979.55;0.01;253;250;1518135870
414;2;19.15;56.01;979.51;0.01;253;257;1518135900
409;1;19.14;56.95;979.53;0.02;250;262;1518135930
407;1;19.12;55.62;979.60;0.02;254;254;1518135960
407;1;19.13;56.32;979.54;0.0;254;258;1518135990
400;0;19.14;55.56;979.50;0.05;256;266;1518136020
407;1;19.15;56.96;979.51;0.02;255;269;1518136050
400;0;19.14;56.13;979.56;0.0;254;256;1518136080
407;1;19.13;56.96;979.59;0.04;252;257;1518136110
407;1;19.14;55.73;979.53;0.04;253;262;1518136140
407;1;19.13;54.96;979.60;0.06;254;258;1518136170
400;0;19.14;58.15;979.60;0.0;253;258;1518136200
407;1;19.13;55.35;979.54;0.0;257;259;1518136230
414;2;19.12;56.40;979.55;0.0;252;259;1518136260
409;1;19.14;56.67;979.49;0.01;247;253;1518136290
409;1;19.09;55.75;979.50;0.0;253;255;1518136320
409;1;19.09;56.59;979.53;0.0;251;267;1518136350
409;1;19.09;55.92;979.52;0.04;253;263;1518136380
409;1;19.07;57.41;979.59;0.04;257;258;1518136410
409;1;19.04;56.70;979.49;0.0;251;262;1518136440
409;1;19.05;55.58;979.52;0.03;255;254;1518136470
400;0;19.07;56.54;979.54;0.02;258;257;1518136500
409;1;19.09;55.22;979.48;0.02;254;257;1518136530
400;0;19.06;56.76;979.53;0.02;249;263;1518136560
409;1;19.08;55.97;979.57;0.0;252;246;1518136590
409;1;19.07;56.84;979.55;0.03;252;248;1518136620
407;1;19.08;58.60;979.44;0.0;254;262;1518136650
407;1;19.07;56.35;979.52;0.0;255;267;1518136680
407;1;19.04;56.33;979.43;0.0;256;244;1518136710
407;1;19.07;58.40;979.51;0.02;255;265;1518136740
407;1;19.07;56.00;979.54;0.05;252;257;1518136770
405;0;19.07;55.22;979.49;0.05;251;256;1518136800
407;1;19.08;56.32;979.50;0.0;257;255;1518136830
400;0;19.08;56.57;979.44;0.02;250;264;1518136860
408;1;19.08;56.60;979.48;0.04;256;253;1518136890
408;1;19.1;56.43;979.44;0.05;249;255;1518136920
408;1;19.06;55.54;979.48;0.0;251;256;1518136950
400;0;19.08;56.24;979.47;0.0;250;264;1518136980
408;1;19.07;55.87;979.50;0.0;252;260;1518137010
403;0;19.08;55.88;979.43;0.07;255;260;1518137040
403;0;19.08;57.70;979.49;0.01;249;244;1518137070
408;1;19.11;55.15;979.44;0.0;254;262;1518137100
403;0;19.13;56.27;979.52;0.02;251;254;1518137130
408;1;19.13;54.46;979.44;0.0;256;254;1518137160
408;1;19.11;56.34;979.46;0.02;257;250;1518137190
410;1;19.09;57.03;979.50;0.02;255;261;1518137220
403;0;19.05;56.55;979.47;0.02;250;256;1518137250
408;1;19.0;56.83;979.46;0.01;256;256;1518137280
403;0;18.99;57.36;979.47;0.0;252;263;1518137310
408;1;18.99;56.66;979.43;0.0;258;268;1518137340
400;0;18.95;56.35;979.49;0.01;250;256;1518137370
400;0;18.9;56.47;979.53;0.04;255;259;1518137400
403;0;18.86;56.95;979.43;0.0;255;250;1518137430
400;0;18.82;57.27;979.43;0.0;253;255;1518137460
403;0;18.81;55.65;979.52;0.03;254;270;1518137490
400;0;18.77;57.73;979.55;0.07;256;265;1518137520
408;1;18.78;56.79;979.47;0.03;254;265;1518137550
403;0;18.8;57.23;979.54;0.0;255;273;1518137580
400;0;18.82;56.55;979.59;0.0;250;263;1518137610
405;0;18.78;57.70;979.50;0.06;248;264;1518137640
405;0;18.8;57.67;979.44;0.03;255;253;1518137670
400;0;18.78;56.58;979.53;0.01;259;265;1518137700
400;0;18.8;57.34;979.57;0.0;254;263;1518137730
400;0;18.83;57.52;979.44;0.0;254;267;1518137760
407;1;18.85;56.04;979.49;0.0;251;253;1518137790
411;1;18.85;56.31;979.43;0.03;257;265;1518137820
407;1;18.85;57.75;979.45;0.05;252;260;1518137850
410;1;18.87;56.40;979.51;0.02;255;273;1518137880
403;0;18.88;56.63;979.50;0.03;252;261;1518137910
408;1;18.89;57.02;979.44;0.04;253;248;1518137940
403;0;18.89;56.26;979.40;0.04;256;262;1518137970
410;1;18.9;56.21;979.49;0.03;251;256;1518138000
408;1;18.92;56.71;979.46;0.0;253;246;1518138030
408;1;18.91;58.08;979.39;0.02;256;265;1518138060
408;1;18.88;56.62;979.48;0.07;252;258;1518138090
400;0;18.88;56.25;979.54;0.0;252;257;1518138120
400;0;18.88;55.42;979.48;0.02;253;255;1518138150
409;1;18.88;56.37;979.46;0.04;252;264;1518138180
406;0;18.88;56.61;979.44;0.0;251;255;1518138210
414;2;18.89;55.16;979.48;0.01;248;257;1518138240
408;1;18.91;57.14;979.52;0.08;255;234;1518138270
408;1;18.93;56.29;979.51;0.01;252;248;1518138300
400;0;18.96;56.29;979.52;0.0;253;262;1518138330
400;0;18.95;54.47;979.52;0.02;256;247;1518138360
408;1;18.95;55.09;979.46;0.06;254;274;1518138390
403;0;18.93;55.55;979.47;0.02;255;247;1518138420
400;0;18.94;55.76;979.50;0.02;258;256;1518138450
403;0;18.95;55.99;979.52;0.0;253;251;1518138480
409;1;18.95;56.62;979.50;0.0;253;255;1518138510
406;0;18.95;55.96;979.49;0.01;258;258;1518138540
406;0;18.93;56.53;979.44;0.0;256;264;1518138570
409;1;18.93;56.19;979.45;0.0;250;259;1518138600
400;0;18.93;56.89;979.53;0.0;254;258;1518138630
409;1;18.91;54.79;979.43;0.01;253;265;1518138660
408;1;18.93;56.28;979.55;0.0;255;252;1518138690
405;0;18.93;55.92;979.50;0.06;251;264;1518138720
400;0;18.95;55.96;979.43;0.0;251;257;1518138750
410;1;18.93;55.82;979.49;0.0;257;278;1518138780
410;1;18.93;56.52;979.40;0.0;254;257;1518138810
410;1;18.98;56.40;979.47;0.0;253;272;1518138840
407;1;18.98;56.09;979.49;0.01;256;260;1518138870
402;0;18.98;56.75;979.53;0.0;254;258;1518138900
402;0;18.95;55.75;979.52;0.02;253;252;1518138930
407;1;18.93;55.39;979.50;0.0;255;263;1518138960
400;0;18.93;56.01;979.50;0.02;252;257;1518138990
409;1;18.95;55.77;979.47;0.0;251;266;1518139020
409;1;18.95;55.80;979.59;0.02;254;258;1518139050
407;1;18.96;55.57;979.58;0.0;255;262;1518139080
409;1;18.96;55.68;979.56;0.0;253;267;1518139110
402;0;18.93;55.23;979.59;0.0;256;261;1518139140
