Temperature;Humidity;Pressure;Time
16.33;69.37;986.59;0
16.34;70.28;986.66;30
16.32;71.45;986.63;60
16.33;70.80;986.63;90
16.35;71.11;986.63;120
16.33;71.33;986.61;150
16.33;69.28;986.65;180
16.34;70.80;986.68;210
16.32;70.11;986.67;240
16.33;69.91;986.74;270
16.35;69.09;986.76;300
16.35;69.49;986.69;330
16.35;69.77;986.72;360
16.37;68.80;986.73;390
16.36;68.97;986.69;420
16.36;68.07;986.77;450
16.36;68.74;986.72;480
16.35;68.15;986.69;510
16.33;68.71;986.73;540
16.33;68.60;986.76;570
16.32;67.37;986.65;600
16.32;68.36;986.69;630
16.31;67.68;986.78;660
16.3;68.42;986.71;690
16.3;67.08;986.70;720
16.3;66.49;986.69;750
16.28;68.07;986.68;780
16.26;67.60;986.69;810
16.26;67.53;986.68;840
16.26;67.56;986.70;870
16.26;67.19;986.72;900
16.23;67.34;986.68;930
16.23;68.27;986.79;960
16.22;67.32;986.74;990
16.21;68.48;986.75;1020
16.24;66.90;986.72;1050
16.23;67.85;986.65;1080
16.21;66.68;986.71;1110
16.22;66.14;986.78;1140
16.2;67.95;986.74;1170
16.2;67.58;986.73;1200
16.19;67.25;986.73;1230
16.2;66.91;986.66;1260
16.19;66.70;986.73;1290
16.18;66.38;986.79;1320
16.19;66.97;986.72;1350
16.17;66.98;986.74;1380
16.16;66.48;986.70;1410
16.16;67.38;986.76;1440
16.16;66.38;986.79;1470
16.14;65.78;986.71;1500
16.12;66.94;986.76;1530
16.13;65.81;986.83;1560
16.15;66.84;986.70;1590
16.14;66.57;986.72;1620
16.14;66.33;986.72;1650
16.13;66.31;986.70;1680
16.11;65.62;986.74;1710
16.1;66.18;986.72;1740
16.08;65.62;986.74;1770
16.09;67.27;986.75;1800
16.07;66.93;986.68;1830
16.05;66.01;986.62;1860
16.05;65.32;986.68;1890
16.04;64.82;986.70;1920
16.03;66.07;986.65;1950
16.02;65.78;986.72;1980
16.03;65.93;986.72;2010
16.01;67.30;986.71;2040
16.01;66.84;986.75;2070
15.99;66.13;986.75;2100
16.01;65.74;986.68;2130
15.98;65.96;986.71;2160
15.97;65.73;986.66;2190
15.97;65.94;986.67;2220
15.97;65.44;986.77;2250
15.96;66.14;986.72;2280
15.96;65.47;986.70;2310
15.95;65.50;986.73;2340
15.94;65.23;986.69;2370
15.94;65.92;986.76;2400
15.93;64.96;986.69;2430
15.94;65.59;986.77;2460
15.92;64.98;986.69;2490
15.9;66.24;986.72;2520
15.9;65.35;986.72;2550
15.89;65.49;986.67;2580
15.89;65.61;986.69;2610
15.88;65.48;986.74;2640
15.88;65.15;986.73;2670
15.87;65.03;986.69;2700
15.88;64.65;986.80;2730
15.87;64.30;986.71;2760
15.87;65.91;986.67;2790
15.87;64.96;986.72;2820
15.86;64.72;986.69;2850
15.86;65.24;986.66;2880
15.85;65.10;986.72;2910
15.87;65.05;986.69;2940
15.85;65.59;986.67;2970
15.86;64.59;986.74;3000
15.85;63.84;986.70;3030
15.85;64.16;986.70;3060
15.83;64.65;986.73;3090
15.83;64.14;986.69;3120
15.82;65.14;986.64;3150
15.81;64.48;986.70;3180
15.82;64.95;986.65;3210
15.82;63.35;986.74;3240
15.81;64.67;986.67;3270
15.8;64.30;986.71;3300
15.8;63.99;986.67;3330
15.79;64.42;986.77;3360
15.79;63.80;986.73;3390
15.79;64.12;986.71;3420
15.78;64.43;986.70;3450
15.8;64.38;986.70;3480
15.78;64.04;986.69;3510
15.79;64.84;986.66;3540
15.78;63.60;986.64;3570
15.77;64.25;986.73;3600
15.77;63.72;986.67;3630
15.76;63.93;986.75;3660
15.76;64.12;986.61;3690
15.76;64.20;986.76;3720
15.76;63.72;986.68;3750
15.75;63.30;986.73;3780
15.74;63.27;986.67;3810
15.74;63.98;986.67;3840
15.73;63.82;986.70;3870
15.74;64.17;986.69;3900
15.73;63.99;986.68;3930
15.73;63.98;986.71;3960
15.73;63.58;986.64;3990
15.73;64.38;986.67;4020
15.72;61.96;986.66;4050
15.72;63.13;986.59;4080
15.72;63.49;986.63;4110
15.72;63.69;986.58;4140
15.71;62.74;986.65;4170
15.69;63.67;986.60;4200
15.69;64.06;986.59;4230
15.68;63.84;986.58;4260
15.68;64.25;986.65;4290
15.67;62.76;986.61;4320
15.67;63.64;986.55;4350
15.67;63.42;986.65;4380
15.66;63.67;986.64;4410
15.67;63.08;986.62;4440
15.66;62.30;986.59;4470
15.67;63.64;986.57;4500
15.66;64.26;986.63;4530
15.65;63.42;986.57;4560
15.65;63.78;986.56;4590
15.64;64.65;986.55;4620
