UV;IR;VIS;Time
0.01;252;249;1517961600
0.04;250;250;1517961630
0.04;254;268;1517961660
0;256;251;1517961690
0.1;254;257;1517961720
0.0;254;252;1517961750
0.03;256;260;1517961780
0.05;258;249;1517961810
0.06;255;253;1517961840
0.0;255;248;1517961870
0.0;249;251;1517961900
0.05;255;257;1517961930
0.0;252;253;1517961960
0.0;254;251;1517961990
0.0;256;256;1517962020
0.0;251;268;1517962050
0.0;255;254;1517962080
0.02;253;262;1517962110
0.06;252;257;1517962140
0.0;255;260;1517962170
0.01;253;259;1517962200
0.04;256;262;1517962230
0.0;255;263;1517962260
0.04;253;252;1517962290
0.02;254;247;1517962320
0.01;254;259;1517962350
0.04;255;266;1517962380
0.0;254;252;1517962410
0.0;250;265;1517962440
0.03;255;256;1517962470
0.04;253;255;1517962500
0.02;254;251;1517962530
0.0;255;267;1517962560
0.0;253;267;1517962590
0.0;255;253;1517962620
0.0;256;276;1517962650
0.0;252;254;1517962680
0.0;254;261;1517962710
0.01;252;264;1517962740
0.03;259;257;1517962770
0.0;256;259;1517962800
0.05;255;268;1517962830
0.0;253;252;1517962860
0.02;250;249;1517962890
0.03;250;257;1517962920
0.0;252;250;1517962950
0.02;252;249;1517962980
0.0;256;260;1517963010
0.0;252;260;1517963040
0.0;254;259;1517963070
0.02;255;251;1517963100
0.0;254;259;1517963130
0.02;255;270;1517963160
0.0;253;257;1517963190
0.0;257;250;1517963220
0.03;254;258;1517963250
0.0;255;264;1517963280
0.06;252;265;1517963310
0.05;252;265;1517963340
0.02;254;252;1517963370
0.0;255;267;1517963400
0.05;254;249;1517963430
0.02;256;272;1517963460
0.01;254;254;1517963490
0.0;257;244;1517963520
0.03;255;256;1517963550
0.0;251;257;1517963580
0.0;255;262;1517963610
0.0;252;261;1517963640
0.05;255;264;1517963670
0.01;256;256;1517963700
0.01;257;262;1517963730
0.06;257;249;1517963760
0.05;256;256;1517963790
0.0;253;244;1517963820
0.0;256;264;1517963850
0.0;255;260;1517963880
0.0;253;258;1517963910
0.02;252;244;1517963940
0.0;253;261;1517963970
0.01;256;253;1517964000
0.02;253;256;1517964030
0.0;253;252;1517964060
0.0;255;266;1517964090
0.01;254;265;1517964120
0.0;255;262;1517964150
0.05;256;248;1517964180
0.0;254;263;1517964210
0.0;257;257;1517964240
0.02;253;257;1517964270
0.04;254;248;1517964300
0.0;251;258;1517964330
0.02;253;262;1517964360
0.0;256;260;1517964390
0.02;254;261;1517964420
0.02;258;257;1517964450
0.05;255;254;1517964480
0.0;252;263;1517964510
0.07;253;252;1517964540
0.0;256;265;1517964570
0.02;254;267;1517964600
0.04;250;268;1517964630
0.03;256;260;1517964660
0.0;252;267;1517964690
0.0;251;260;1517964720
0.0;256;252;1517964750
0.0;250;256;1517964780
0.0;255;261;1517964810
0.0;253;256;1517964840
0.04;255;257;1517964870
0.03;253;270;1517964900
0.03;257;260;1517964930
0.03;257;253;1517964960
0.03;251;259;1517964990
0.06;254;269;1517965020
0.0;254;249;1517965050
0.0;253;267;1517965080
0.0;252;258;1517965110
0.0;252;258;1517965140
0.04;255;259;1517965170
0.01;253;246;1517965200
0.05;250;273;1517965230
0.01;255;250;1517965260
0.03;250;267;1517965290
0.0;250;256;1517965320
0.02;251;267;1517965350
0.0;256;268;1517965380
0.0;253;256;1517965410
0.03;250;269;1517965440
0.0;252;250;1517965470
0.03;254;258;1517965500
0.02;253;254;1517965530
0.0;256;255;1517965560
0.0;251;265;1517965590
0.0;252;262;1517965620
0.03;252;264;1517965650
0.0;253;265;1517965680
0.06;256;269;1517965710
0.02;256;268;1517965740
0.0;251;253;1517965770
0.0;253;246;1517965800
0.0;253;270;1517965830
0.0;256;254;1517965860
0.0;254;266;1517965890
0.0;255;260;1517965920
0.01;252;259;1517965950
0.02;252;273;1517965980
0.0;253;263;1517966010
0.0;255;266;1517966040
0.01;253;259;1517966070
0.0;254;249;1517966100
0.02;250;256;1517966130
0.07;251;260;1517966160
0.01;255;253;1517966190
0.05;252;261;1517966220
0.0;256;263;1517966250
0.01;253;256;1517966280
0.0;248;252;1517966310
0.0;253;258;1517966340
0.03;254;260;1517966370
0.0;251;258;1517966400
0.02;255;266;1517966430
0.02;253;264;1517966460
0.01;255;268;1517966490
0.0;253;266;1517966520
0.01;252;262;1517966550
0.05;254;255;1517966580
0.0;250;251;1517966610
0.0;253;253;1517966640
0.02;254;258;1517966670
0.05;251;252;1517966700
0.0;256;247;1517966730
0.0;251;249;1517966760
0.0;252;256;1517966790
0.04;255;252;1517966820
0.05;253;257;1517966850
0.0;253;261;1517966880
0.0;255;256;1517966910
0.0;254;250;1517966940
0.0;255;264;1517966970
0.03;250;264;1517967000
0.02;253;255;1517967030
0.01;251;256;1517967060
0.04;250;258;1517967090
0.0;252;260;1517967120
0.0;254;258;1517967150
0.03;252;268;1517967180
0.0;255;265;1517967210
0.03;252;252;1517967240
0.0;256;261;1517967270
0.0;253;258;1517967300
0.01;253;242;1517967330
0.0;256;253;1517967360
0.05;253;253;1517967390
0.0;257;254;1517967420
0.0;252;257;1517967450
0.02;255;259;1517967480
0.01;255;260;1517967510
0.0;255;243;1517967540
0.0;253;271;1517967570
0.0;251;248;1517967600
0.0;256;251;1517967630
0.0;253;251;1517967660
0.0;254;258;1517967690
0.0;255;250;1517967720
0.02;253;253;1517967750
0.01;253;247;1517967780
0.02;254;245;1517967810
0.01;253;265;1517967840
0.0;255;262;1517967870
0.02;253;259;1517967900
0.02;256;270;1517967930
0.0;252;249;1517967960
0.0;253;256;1517967990
0.0;255;257;1517968020
0.0;255;263;1517968050
0.0;250;258;1517968080
0.01;254;251;1517968110
0.0;253;260;1517968140
0.03;255;265;1517968170
0.0;250;263;1517968200
0.0;256;250;1517968230
0.0;254;253;1517968260
0.01;253;262;1517968290
0.0;254;262;1517968320
0.06;257;250;1517968350
0.03;252;258;1517968380
0.0;256;264;1517968410
0.0;256;263;1517968440
0.0;252;252;1517968470
0.0;255;253;1517968500
0.08;250;258;1517968530
0.0;257;259;1517968560
0.02;252;249;1517968590
0.02;251;264;1517968620
0.0;255;255;1517968650
0.02;255;264;1517968680
0.01;256;251;1517968710
0.0;257;247;1517968740
0.0;253;246;1517968770
0.01;252;250;1517968800
0.02;253;262;1517968830
0.0;255;268;1517968860
0.0;251;272;1517968890
0.02;255;255;1517968920
0.0;258;268;1517968950
0.0;252;250;1517968980
0.01;256;255;1517969010
0.08;253;266;1517969040
0.0;251;262;1517969070
0.01;251;261;1517969100
0.05;254;255;1517969130
0.0;254;260;1517969160
0.0;253;258;1517969190
0.05;252;248;1517969220
0.0;255;259;1517969250
0.01;255;263;1517969280
0.04;252;262;1517969310
0.02;253;252;1517969340
0.04;252;265;1517969370
0.0;254;266;1517969400
0.0;255;259;1517969430
0.0;253;246;1517969460
0.0;253;252;1517969490
0.01;254;263;1517969520
0.01;252;250;1517969550
0.0;251;252;1517969580
0.02;254;259;1517969610
0.0;255;268;1517969640
0.04;253;253;1517969670
0.0;257;244;1517969700
0.06;253;265;1517969730
0.0;255;259;1517969760
0.0;251;256;1517969790
0.01;259;264;1517969820
0.0;252;267;1517969850
0.02;253;252;1517969880
0.0;253;256;1517969910
0.0;255;258;1517969940
0.05;251;264;1517969970
0.0;255;251;1517970000
0.02;254;264;1517970030
0.01;249;267;1517970060
0.0;253;259;1517970090
0.0;254;261;1517970120
0.03;254;253;1517970150
0.05;252;261;1517970180
0.07;254;262;1517970210
0.04;252;259;1517970240
0.0;255;260;1517970270
0.01;248;261;1517970300
0.0;253;255;1517970330
0.03;264;268;1517970360
0.0;254;252;1517970390
0.0;250;261;1517970420
0.0;252;253;1517970450
0.0;251;250;1517970480
0.03;256;245;1517970510
0.0;251;246;1517970540
0.0;253;262;1517970570
0.0;254;263;1517970600
0.05;254;249;1517970630
0.0;256;244;1517970660
0.02;268;247;1517970690
0.07;275;257;1517970720
0.01;270;260;1517970750
0.0;264;261;1517970780
0.03;265;273;1517970810
0.05;274;267;1517970840
0.0;272;256;1517970870
0.03;269;259;1517970900
0.04;269;268;1517970930
0.02;260;255;1517970960
0.0;255;266;1517970990
0.02;257;252;1517971020
0.01;254;254;1517971050
0.0;252;251;1517971080
0.03;256;249;1517971110
0.01;255;258;1517971140
0.0;254;248;1517971170
0.0;255;266;1517971200
0.01;252;268;1517971230
0.0;254;269;1517971260
0.0;256;260;1517971290
0.02;251;249;1517971320
0.02;255;259;1517971350
0.0;257;268;1517971380
0.02;256;260;1517971410
0.02;257;259;1517971440
0.07;251;261;1517971470
0.0;257;265;1517971500
0.0;254;265;1517971530
0.0;256;261;1517971560
0.0;252;267;1517971590
0.03;254;260;1517971620
0.0;254;255;1517971650
0.04;255;255;1517971680
0.0;254;255;1517971710
0.0;255;262;1517971740
0.0;254;247;1517971770
0.0;256;250;1517971800
0.02;258;266;1517971830
0.0;257;249;1517971860
0.0;257;252;1517971890
0.0;255;261;1517971920
0.02;257;256;1517971950
0.05;252;260;1517971980
0.0;252;253;1517972010
0.02;252;257;1517972040
0.02;261;266;1517972070
0.04;254;251;1517972100
0.03;257;245;1517972130
0.01;254;255;1517972160
0.0;256;256;1517972190
0.0;257;268;1517972220
0.0;254;257;1517972250
0.01;255;247;1517972280
0.01;255;255;1517972310
0.02;256;255;1517972340
0.0;255;257;1517972370
0.0;253;260;1517972400
0.0;255;269;1517972430
0.02;259;261;1517972460
0.0;255;264;1517972490
0.02;256;255;1517972520
0.02;255;261;1517972550
0.0;252;256;1517972580
0.06;249;260;1517972610
0.0;252;263;1517972640
0.05;255;278;1517972670
0.0;255;258;1517972700
0.01;250;266;1517972730
0.0;253;254;1517972760
0.0;252;269;1517972790
0.02;255;258;1517972820
0.0;254;268;1517972850
0.0;255;258;1517972880
0.0;256;262;1517972910
0.04;265;259;1517972940
0.05;255;260;1517972970
0.0;256;260;1517973000
0.02;255;256;1517973030
0.02;257;269;1517973060
0.0;252;263;1517973090
0.02;252;262;1517973120
0.05;251;275;1517973150
0.0;253;257;1517973180
0.02;253;254;1517973210
0.02;250;256;1517973240
0.02;255;247;1517973270
0.0;255;271;1517973300
0.0;253;248;1517973330
0.0;253;263;1517973360
0.02;253;261;1517973390
0.0;255;246;1517973420
0.0;252;249;1517973450
0.01;250;273;1517973480
0.0;255;268;1517973510
0.05;253;259;1517973540
0.04;254;249;1517973570
0.02;254;256;1517973600
0.0;255;252;1517973630
0.0;256;257;1517973660
0.0;255;261;1517973690
0.0;256;249;1517973720
0.01;252;266;1517973750
0.0;252;264;1517973780
0.0;256;273;1517973810
0.0;253;266;1517973840
0.0;254;259;1517973870
0.0;256;264;1517973900
0.0;253;258;1517973930
0.0;254;250;1517973960
0.03;255;278;1517973990
0.02;250;272;1517974020
0.02;255;270;1517974050
0.0;252;269;1517974080
0.02;254;258;1517974110
0.02;255;270;1517974140
0.0;254;254;1517974170
0.0;252;252;1517974200
0.0;254;267;1517974230
0.0;251;249;1517974260
0.0;254;258;1517974290
0.04;255;263;1517974320
0.0;255;264;1517974350
0.0;255;254;1517974380
0.0;252;259;1517974410
0.01;256;263;1517974440
0.01;253;261;1517974470
0.0;254;262;1517974500
0.0;256;261;1517974530
0.0;254;260;1517974560
0.0;255;262;1517974590
0.0;254;258;1517974620
0.02;253;254;1517974650
0.02;249;254;1517974680
0.0;252;261;1517974710
0.02;253;256;1517974740
0.04;253;266;1517974770
0.0;253;256;1517974800
0.03;252;263;1517974830
0.02;255;251;1517974860
0.0;253;270;1517974890
0.0;255;258;1517974920
0.0;255;263;1517974950
0.06;252;258;1517974980
0.0;254;260;1517975010
0.0;255;245;1517975040
0.01;255;249;1517975070
0.0;254;255;1517975100
0.0;254;260;1517975130
0.0;254;253;1517975160
0.03;256;258;1517975190
0.03;253;250;1517975220
0.0;253;249;1517975250
0.03;256;264;1517975280
0.01;249;259;1517975310
0.0;256;263;1517975340
0.0;255;268;1517975370
0.03;253;255;1517975400
0.03;251;252;1517975430
0.01;255;260;1517975460
0.0;249;260;1517975490
0.02;248;272;1517975520
0.0;253;247;1517975550
0.0;254;249;1517975580
0.04;254;270;1517975610
0.01;254;251;1517975640
0.02;254;266;1517975670
0.02;253;248;1517975700
0.0;250;253;1517975730
0.0;255;256;1517975760
0.01;252;255;1517975790
0.0;253;266;1517975820
0.0;254;258;1517975850
0.0;253;258;1517975880
0.04;256;252;1517975910
0.0;254;264;1517975940
0.0;257;253;1517975970
0.01;252;254;1517976000
0.0;254;252;1517976030
0.0;254;265;1517976060
0.0;255;256;1517976090
0.0;254;249;1517976120
0.0;254;251;1517976150
0.0;252;261;1517976180
0.02;255;255;1517976210
0.0;253;264;1517976240
0.03;254;252;1517976270
0.0;251;259;1517976300
0.0;255;264;1517976330
0.0;253;254;1517976360
0.02;254;255;1517976390
0.0;256;260;1517976420
0.02;255;258;1517976450
0.0;250;250;1517976480
0.08;256;258;1517976510
0.05;254;273;1517976540
0.0;257;264;1517976570
0.0;256;247;1517976600
0.01;250;249;1517976630
0.0;250;247;1517976660
0.03;253;257;1517976690
0.0;249;263;1517976720
0.0;253;273;1517976750
0.0;257;251;1517976780
0.0;251;266;1517976810
0.0;255;256;1517976840
0.0;254;259;1517976870
0.02;258;274;1517976900
0.02;253;261;1517976930
0.01;254;261;1517976960
0.0;250;260;1517976990
0.05;252;254;1517977020
0.04;251;252;1517977050
0.01;253;259;1517977080
0.05;251;266;1517977110
0.0;251;244;1517977140
0.03;256;246;1517977170
0.01;249;256;1517977200
0.01;252;253;1517977230
0.0;254;243;1517977260
0.0;255;259;1517977290
0.03;255;269;1517977320
0.0;256;263;1517977350
0.0;255;271;1517977380
0.02;254;264;1517977410
0.0;254;259;1517977440
0.0;253;250;1517977470
0.0;254;248;1517977500
0.0;253;256;1517977530
0.0;254;252;1517977560
0.01;251;262;1517977590
0.01;250;262;1517977620
0.0;251;258;1517977650
0.0;253;259;1517977680
0.04;257;257;1517977710
0.0;254;260;1517977740
0.04;256;257;1517977770
0.0;253;253;1517977800
0.01;254;255;1517977830
0.03;253;256;1517977860
0.0;253;259;1517977890
0.0;253;269;1517977920
0.01;255;271;1517977950
0.0;251;258;1517977980
0.0;252;241;1517978010
0.0;253;269;1517978040
0.0;252;246;1517978070
0.0;252;259;1517978100
0.0;252;264;1517978130
0.0;250;265;1517978160
0.03;252;254;1517978190
0.01;250;252;1517978220
0.0;252;261;1517978250
0.0;251;255;1517978280
0.02;249;252;1517978310
0.0;249;264;1517978340
0.01;252;256;1517978370
0.05;251;255;1517978400
0.0;252;263;1517978430
0.02;254;256;1517978460
0.01;251;264;1517978490
0.03;253;256;1517978520
0.04;253;253;1517978550
0.0;257;244;1517978580
0.06;253;265;1517978610
0.0;255;259;1517978640
0.0;251;256;1517978670
0.01;259;264;1517978700
0.0;252;267;1517978730
0.02;253;252;1517978760
0.0;253;256;1517978790
0.0;255;258;1517978820
0.05;251;264;1517978850
0.0;255;251;1517978880
0.02;254;264;1517978910
0.01;249;267;1517978940
0.0;253;259;1517978970
0.0;254;261;1517979000
0.03;254;253;1517979030
0.05;252;261;1517979060
0.07;254;262;1517979090
0.04;252;259;1517979120
0.0;255;260;1517979150
0.01;248;261;1517979180
0.0;253;255;1517979210
0.03;264;268;1517979240
0.0;254;252;1517979270
0.0;250;261;1517979300
0.0;252;253;1517979330
0.0;251;250;1517979360
0.03;256;245;1517979390
0.0;251;246;1517979420
0.0;253;262;1517979450
0.0;254;263;1517979480
0.05;254;249;1517979510
0.0;256;244;1517979540
0.02;268;247;1517979570
0.07;275;257;1517979600
0.01;270;260;1517979630
0.0;264;261;1517979660
0.03;265;273;1517979690
0.05;274;267;1517979720
0.0;272;256;1517979750
0.03;269;259;1517979780
0.04;269;268;1517979810
0.02;260;255;1517979840
0.0;255;266;1517979870
0.02;257;252;1517979900
0.01;254;254;1517979930
0.0;252;251;1517979960
0.03;256;249;1517979990
0.01;255;258;1517980020
0.0;254;248;1517980050
0.0;255;266;1517980080
0.01;252;268;1517980110
0.0;254;269;1517980140
0.0;256;260;1517980170
0.02;251;249;1517980200
0.02;255;259;1517980230
0.0;257;268;1517980260
0.02;256;260;1517980290
0.02;257;259;1517980320
0.07;251;261;1517980350
0.0;257;265;1517980380
0.0;254;265;1517980410
0.0;256;261;1517980440
0.0;252;267;1517980470
0.03;254;260;1517980500
0.0;254;255;1517980530
0.04;255;255;1517980560
0.0;254;255;1517980590
0.0;255;262;1517980620
0.0;254;247;1517980650
0.0;256;250;1517980680
0.02;258;266;1517980710
0.0;257;249;1517980740
0.0;257;252;1517980770
0.0;255;261;1517980800
0.02;257;256;1517980830
0.05;252;260;1517980860
0.0;252;253;1517980890
0.02;252;257;1517980920
0.02;261;266;1517980950
0.04;254;251;1517980980
0.03;257;245;1517981010
0.01;254;255;1517981040
0.0;256;256;1517981070
0.0;257;268;1517981100
0.0;254;257;1517981130
0.01;255;247;1517981160
0.01;255;255;1517981190
0.02;256;255;1517981220
0.0;255;257;1517981250
0.0;253;260;1517981280
0.0;255;269;1517981310
0.02;259;261;1517981340
0.0;255;264;1517981370
0.02;256;255;1517981400
0.02;255;261;1517981430
0.0;252;256;1517981460
0.06;249;260;1517981490
0.0;252;263;1517981520
0.05;255;278;1517981550
0.0;255;258;1517981580
0.01;250;266;1517981610
0.0;253;254;1517981640
0.0;252;269;1517981670
0.02;255;258;1517981700
0.0;254;268;1517981730
0.0;255;258;1517981760
0.0;256;262;1517981790
0.04;265;259;1517981820
0.05;255;260;1517981850
0.0;256;260;1517981880
0.02;255;256;1517981910
0.02;257;269;1517981940
0.0;252;263;1517981970
0.02;252;262;1517982000
0.05;251;275;1517982030
0.0;253;257;1517982060
0.02;253;254;1517982090
0.02;250;256;1517982120
0.02;255;247;1517982150
0.0;255;271;1517982180
0.0;253;248;1517982210
0.0;253;263;1517982240
0.02;253;261;1517982270
0.0;255;246;1517982300
0.0;252;249;1517982330
0.01;250;273;1517982360
0.0;255;268;1517982390
0.05;253;259;1517982420
0.04;254;249;1517982450
0.02;254;256;1517982480
0.0;255;252;1517982510
0.0;256;257;1517982540
0.0;255;261;1517982570
0.0;256;249;1517982600
0.01;252;266;1517982630
0.0;252;264;1517982660
0.0;256;273;1517982690
0.0;253;266;1517982720
0.0;254;259;1517982750
0.0;256;264;1517982780
0.0;253;258;1517982810
0.0;254;250;1517982840
0.03;255;278;1517982870
0.02;250;272;1517982900
0.02;255;270;1517982930
0.0;252;269;1517982960
0.02;254;258;1517982990
0.02;255;270;1517983020
0.0;254;254;1517983050
0.0;252;252;1517983080
0.0;254;267;1517983110
0.0;251;249;1517983140
0.0;254;258;1517983170
0.04;255;263;1517983200
0.0;255;264;1517983230
0.0;255;254;1517983260
0.0;252;259;1517983290
0.01;256;263;1517983320
0.01;253;261;1517983350
0.0;254;262;1517983380
0.0;256;261;1517983410
0.0;254;260;1517983440
0.0;255;262;1517983470
0.0;254;258;1517983500
0.02;253;254;1517983530
0.02;249;254;1517983560
0.0;252;261;1517983590
0.02;253;256;1517983620
0.04;253;266;1517983650
0.0;253;256;1517983680
0.03;252;263;1517983710
0.02;255;251;1517983740
0.0;253;270;1517983770
0.0;255;258;1517983800
0.0;255;263;1517983830
0.06;252;258;1517983860
0.0;254;260;1517983890
0.0;255;245;1517983920
0.01;255;249;1517983950
0.0;254;255;1517983980
0.0;254;260;1517984010
0.0;254;253;1517984040
0.03;256;258;1517984070
0.03;253;250;1517984100
0.0;253;249;1517984130
0.03;256;264;1517984160
0.01;249;259;1517984190
0.0;256;263;1517984220
0.0;255;268;1517984250
0.03;253;255;1517984280
0.03;251;252;1517984310
0.01;255;260;1517984340
0.0;249;260;1517984370
0.0;248;248;1517984400
0.0;256;249;1517984430
0.0;252;255;1517984460
0.02;255;277;1517984490
0.01;256;257;1517984520
0.0;259;254;1517984550
0.03;258;254;1517984580
0.05;259;262;1517984610
0.0;255;260;1517984640
0.05;256;251;1517984670
0.01;256;256;1517984700
0.01;253;261;1517984730
0.06;256;253;1517984760
0.0;254;258;1517984790
0.0;252;256;1517984820
0.06;255;262;1517984850
0.0;255;258;1517984880
0.0;254;243;1517984910
0.05;258;254;1517984940
0.03;253;270;1517984970
0.0;253;252;1517985000
0.04;254;258;1517985030
0.01;258;256;1517985060
0.0;253;261;1517985090
