UV\t;IR\t;VIS\t;Time
0.02\t;249\t;276\t;0
0.03\t;253\t;257\t;30
0.0\t;255\t;254\t;60
0.0\t;252\t;261\t;90
0.02\t;256\t;260\t;120
0.0\t;252\t;252\t;150
0.08\t;256\t;246\t;180
0.0\t;251\t;256\t;210
0.02\t;253\t;260\t;240
0.0\t;254\t;260\t;270
0.0\t;252\t;254\t;300
0.0\t;255\t;262\t;330
0.05\t;255\t;254\t;360
0.02\t;253\t;259\t;390
0.0\t;252\t;261\t;420
0.0\t;253\t;264\t;450
0.0\t;255\t;260\t;480
0.0\t;254\t;261\t;510
0.0\t;250\t;256\t;540
0.03\t;254\t;260\t;570
0.0\t;252\t;255\t;600
0.04\t;252\t;261\t;630
0.05\t;256\t;267\t;660
0.03\t;255\t;264\t;690
0.0\t;257\t;249\t;720
0.0\t;249\t;262\t;750
0.0\t;253\t;267\t;780
0.0\t;256\t;265\t;810
0.01\t;254\t;257\t;840
0.0\t;253\t;263\t;870
0.0\t;254\t;257\t;900
0.0\t;258\t;250\t;930
0.04\t;252\t;253\t;960
0.03\t;251\t;259\t;990
0.01\t;254\t;260\t;1020
0.0\t;253\t;264\t;1050
0.03\t;259\t;264\t;1080
0.02\t;251\t;263\t;1110
0.0\t;257\t;275\t;1140
0.0\t;252\t;248\t;1170
0.0\t;250\t;258\t;1200
0.03\t;251\t;267\t;1230
0.0\t;254\t;254\t;1260
0.0\t;256\t;266\t;1290
0.0\t;255\t;250\t;1320
0.02\t;249\t;253\t;1350
0.0\t;252\t;261\t;1380
0.0\t;251\t;272\t;1410
0.02\t;251\t;265\t;1440
0.01\t;253\t;250\t;1470
0.01\t;253\t;257\t;1500
0.02\t;250\t;262\t;1530
0.02\t;254\t;254\t;1560
0.0\t;254\t;258\t;1590
0.05\t;256\t;266\t;1620
0.02\t;255\t;269\t;1650
0.0\t;254\t;256\t;1680
0.04\t;252\t;257\t;1710
0.04\t;253\t;262\t;1740
0.06\t;254\t;258\t;1770
0.0\t;253\t;258\t;1800
0.0\t;257\t;259\t;1830
0.0\t;252\t;259\t;1860
0.01\t;247\t;253\t;1890
0.0\t;253\t;255\t;1920
0.0\t;251\t;267\t;1950
0.04\t;253\t;263\t;1980
0.04\t;257\t;258\t;2010
0.0\t;251\t;262\t;2040
0.03\t;255\t;254\t;2070
0.02\t;258\t;257\t;2100
0.02\t;254\t;257\t;2130
0.02\t;249\t;263\t;2160
0.0\t;252\t;246\t;2190
0.03\t;252\t;248\t;2220
0.0\t;254\t;262\t;2250
0.0\t;255\t;267\t;2280
0.0\t;256\t;244\t;2310
0.02\t;255\t;265\t;2340
0.05\t;252\t;257\t;2370
0.05\t;251\t;256\t;2400
0.0\t;257\t;255\t;2430
0.02\t;250\t;264\t;2460
0.04\t;256\t;253\t;2490
0.05\t;249\t;255\t;2520
0.0\t;251\t;256\t;2550
0.0\t;250\t;264\t;2580
0.0\t;252\t;260\t;2610
0.07\t;255\t;260\t;2640
0.01\t;249\t;244\t;2670
0.0\t;254\t;262\t;2700
0.02\t;251\t;254\t;2730
0.0\t;256\t;254\t;2760
0.02\t;257\t;250\t;2790
0.02\t;255\t;261\t;2820
0.02\t;250\t;256\t;2850
0.01\t;256\t;256\t;2880
0.0\t;252\t;263\t;2910
0.0\t;258\t;268\t;2940
0.01\t;250\t;256\t;2970
0.04\t;255\t;259\t;3000
0.0\t;255\t;250\t;3030
0.0\t;253\t;255\t;3060
0.03\t;254\t;270\t;3090
0.07\t;256\t;265\t;3120
0.03\t;254\t;265\t;3150
0.0\t;255\t;273\t;3180
0.0\t;250\t;263\t;3210
0.06\t;248\t;264\t;3240
0.03\t;255\t;253\t;3270
0.01\t;259\t;265\t;3300
0.0\t;254\t;263\t;3330
0.0\t;254\t;267\t;3360
0.0\t;251\t;253\t;3390
0.03\t;257\t;265\t;3420
0.05\t;252\t;260\t;3450
0.02\t;255\t;273\t;3480
0.03\t;252\t;261\t;3510
0.04\t;253\t;248\t;3540
0.04\t;256\t;262\t;3570
0.03\t;251\t;256\t;3600
0.0\t;253\t;246\t;3630
0.02\t;256\t;265\t;3660
0.07\t;252\t;258\t;3690
0.0\t;252\t;257\t;3720
0.02\t;253\t;255\t;3750
0.04\t;252\t;264\t;3780
0.0\t;251\t;255\t;3810
0.01\t;248\t;257\t;3840
0.08\t;255\t;234\t;3870
0.01\t;252\t;248\t;3900
0.0\t;253\t;262\t;3930
0.02\t;256\t;247\t;3960
0.06\t;254\t;274\t;3990
0.02\t;255\t;247\t;4020
0.02\t;258\t;256\t;4050
0.0\t;253\t;251\t;4080
0.0\t;253\t;255\t;4110
0.01\t;258\t;258\t;4140
0.0\t;256\t;264\t;4170
0.0\t;250\t;259\t;4200
0.0\t;254\t;258\t;4230
0.01\t;253\t;265\t;4260
0.0\t;255\t;252\t;4290
0.06\t;251\t;264\t;4320
0.0\t;251\t;257\t;4350
0.0\t;257\t;278\t;4380
0.0\t;254\t;257\t;4410
0.0\t;253\t;272\t;4440
0.01\t;256\t;260\t;4470
0.0\t;254\t;258\t;4500
0.02\t;253\t;252\t;4530
0.0\t;255\t;263\t;4560
0.02\t;252\t;257\t;4590
0.0\t;251\t;266\t;4620
0.02\t;254\t;258\t;4650
0.0\t;255\t;262\t;4680
0.0\t;253\t;267\t;4710
0.0\t;256\t;261\t;4740
0.0\t;252\t;251\t;4770
0.0\t;253\t;251\t;4800
0.0\t;259\t;259\t;4830
0.0\t;253\t;260\t;4860
0.0\t;250\t;266\t;4890
0.02\t;254\t;255\t;4920
0.0\t;254\t;260\t;4950
0.03\t;252\t;268\t;4980
0.0\t;253\t;256\t;5010
0.06\t;256\t;252\t;5040
0.0\t;256\t;262\t;5070
0.0\t;254\t;259\t;5100
0.0\t;254\t;259\t;5130
0.0\t;254\t;256\t;5160
0.03\t;261\t;261\t;5190
0.0\t;256\t;265\t;5220
0.01\t;251\t;269\t;5250
0.0\t;256\t;269\t;5280
0.0\t;253\t;260\t;5310
0.0\t;252\t;258\t;5340
0.0\t;252\t;261\t;5370
0.0\t;254\t;270\t;5400
0.0\t;253\t;260\t;5430
0.04\t;250\t;255\t;5460
0.06\t;254\t;259\t;5490
0.0\t;252\t;257\t;5520
0.03\t;254\t;256\t;5550
0.0\t;247\t;258\t;5580
0.0\t;251\t;255\t;5610
0.0\t;252\t;261\t;5640
0.0\t;257\t;256\t;5670
0.0\t;250\t;260\t;5700
0.0\t;251\t;249\t;5730
0.0\t;250\t;247\t;5760
0.0\t;253\t;261\t;5790
0.01\t;253\t;260\t;5820
0.02\t;256\t;263\t;5850
0.0\t;252\t;258\t;5880
0.02\t;252\t;256\t;5910
0.02\t;251\t;256\t;5940
0.04\t;254\t;266\t;5970
0.01\t;254\t;257\t;6000
0.01\t;253\t;262\t;6030
0.02\t;253\t;268\t;6060
